Company: DE
Comparison of Actual vs Predicted Prices:
dates        actual     predicted 
2022-12-22   439.63     387.90    
2023-01-05   420.60     425.91    
2023-01-23   415.33     412.14    
2023-02-07   419.24     436.12    
2023-02-21   402.45     464.88    
2023-03-08   395.35     446.69    
2023-03-22   384.39     405.82    
2023-04-05   374.61     423.89    
2023-04-19   380.39     404.44    
2023-05-04   354.08     385.16    
2023-05-18   380.77     389.01    
2023-06-01   404.45     340.58    
2023-06-16   407.09     426.04    
2023-06-30   442.59     436.18    
2023-07-17   431.31     442.58    
2023-08-01   390.79     391.74    
2023-08-15   414.43     401.10    
2023-08-29   398.69     387.68    
2023-09-12   372.78     442.06    
2023-09-27   391.12     406.11    
2023-10-11   365.36     390.83    
2023-10-25   374.96     379.16    
2023-11-08   363.94     386.16    
2023-11-22   377.01     407.90    
2023-12-06   399.26     403.47    
2023-12-21   386.51     396.00    
2024-01-04   397.68     405.86    
2024-01-22   389.39     392.02    
2024-02-06   360.66     393.61    
2024-02-20   372.65     375.41    
2024-03-06   398.52     380.45    
2024-03-20   411.97     425.99    
2024-04-03   394.62     423.24    
2024-04-18   405.42     423.38    
2024-05-02   386.01     404.44    
2024-05-16   371.27     434.39    
2024-05-30   375.04     392.34    
2024-06-14   355.00     406.88    
2024-06-28   379.25     375.39    
2024-07-15   344.84     385.78    
2024-07-30   372.91     394.77    
2024-08-13   385.69     353.81    
2024-08-27   397.88     406.67    
2024-09-10   416.44     395.78    
2024-09-25   401.99     422.07    
2024-10-09   406.04     427.51    
2024-10-23   393.75     432.17    
2024-11-06   461.04     428.18    
2024-12-17   N/A        484.13    

Company: BA
Comparison of Actual vs Predicted Prices:
dates        actual     predicted 
2022-12-22   214.13     192.67    
2023-01-05   209.67     211.57    
2023-01-23   215.65     213.37    
2023-02-07   201.55     213.60    
2023-02-21   207.28     214.10    
2023-03-08   204.96     220.20    
2023-03-22   212.34     217.66    
2023-04-05   203.03     219.72    
2023-04-19   200.84     223.54    
2023-05-04   199.27     215.84    
2023-05-18   218.11     215.14    
2023-06-01   205.41     218.08    
2023-06-16   213.31     222.91    
2023-06-30   215.87     220.47    
2023-07-17   238.25     226.01    
2023-08-01   227.22     246.07    
2023-08-15   222.57     233.93    
2023-08-29   204.48     231.51    
2023-09-12   188.92     222.13    
2023-09-27   185.60     211.34    
2023-10-11   186.82     194.20    
2023-10-25   207.47     181.95    
2023-11-08   224.43     194.59    
2023-11-22   250.91     224.26    
2023-12-06   260.35     250.86    
2023-12-21   217.70     251.83    
2024-01-04   205.19     262.91    
2024-01-22   209.33     231.05    
2024-02-06   201.40     212.33    
2024-02-20   184.24     211.49    
2024-03-06   187.50     211.79    
2024-03-20   174.63     180.59    
2024-04-03   164.33     186.55    
2024-04-18   180.35     173.93    
2024-05-02   186.28     173.27    
2024-05-16   191.42     177.38    
2024-05-30   176.56     172.53    
2024-06-14   185.84     181.61    
2024-06-28   178.90     182.40    
2024-07-15   167.03     179.36    
2024-07-30   179.64     184.51    
2024-08-13   161.02     174.78    
2024-08-27   156.39     174.30    
2024-09-10   154.22     170.38    
2024-09-25   152.35     161.08    
2024-10-09   152.98     158.96    
2024-10-23   145.17     159.57    
2024-11-06   150.76     161.98    
2024-12-17   N/A        154.62    

Company: CL
Comparison of Actual vs Predicted Prices:
dates        actual     predicted 
2022-12-22   77.85      73.33     
2023-01-05   72.88      72.47     
2023-01-23   73.77      74.94     
2023-02-07   73.30      77.83     
2023-02-21   72.24      73.89     
2023-03-08   74.50      73.62     
2023-03-22   76.05      71.89     
2023-04-05   76.68      75.08     
2023-04-19   81.10      79.39     
2023-05-04   76.48      84.23     
2023-05-18   75.73      84.98     
2023-06-01   77.11      77.53     
2023-06-16   75.89      80.82     
2023-06-30   77.48      80.61     
2023-07-17   76.90      75.47     
2023-08-01   73.80      76.13     
2023-08-15   72.78      73.94     
2023-08-29   73.22      77.28     
2023-09-12   70.47      73.56     
2023-09-27   72.08      73.41     
2023-10-11   75.12      72.27     
2023-10-25   76.66      76.26     
2023-11-08   77.88      76.16     
2023-11-22   79.39      77.00     
2023-12-06   79.24      75.88     
2023-12-21   80.91      76.89     
2024-01-04   83.96      81.76     
2024-01-22   83.56      85.57     
2024-02-06   86.41      88.96     
2024-02-20   88.76      84.48     
2024-03-06   88.90      88.33     
2024-03-20   86.56      88.37     
2024-04-03   88.87      88.33     
2024-04-18   93.47      88.50     
2024-05-02   94.76      85.54     
2024-05-16   93.98      94.04     
2024-05-30   97.27      86.55     
2024-06-14   97.58      92.80     
2024-06-28   97.95      109.78    
2024-07-15   100.97     99.25     
2024-07-30   101.85     96.55     
2024-08-13   107.78     97.00     
2024-08-27   104.56     99.56     
2024-09-10   102.33     93.77     
2024-09-25   101.55     98.09     
2024-10-09   94.72      99.98     
2024-10-23   91.50      94.52     
2024-11-06   96.58      90.49     
2024-12-17   N/A        94.04     

Company: GOOGL
Comparison of Actual vs Predicted Prices:
dates        actual     predicted 
2022-12-22   92.12      91.32     
2023-01-05   96.94      92.31     
2023-01-23   94.61      100.24    
2023-02-07   90.06      106.97    
2023-02-21   93.97      104.37    
2023-03-08   101.03     99.23     
2023-03-22   104.64     101.95    
2023-04-05   103.71     91.53     
2023-04-19   111.75     85.52     
2023-05-04   120.90     84.70     
2023-05-18   122.14     124.42    
2023-06-01   122.34     126.87    
2023-06-16   116.45     123.72    
2023-06-30   121.53     118.36    
2023-07-17   131.53     125.37    
2023-08-01   128.37     140.30    
2023-08-15   135.77     133.99    
2023-08-29   138.04     135.01    
2023-09-12   132.43     139.08    
2023-09-27   139.72     116.90    
2023-10-11   124.08     146.03    
2023-10-25   133.62     131.96    
2023-11-08   134.99     130.66    
2023-11-22   132.57     139.13    
2023-12-06   140.23     118.68    
2023-12-21   142.65     142.53    
2024-01-04   153.51     138.63    
2024-01-22   147.53     155.77    
2024-02-06   138.88     134.26    
2024-02-20   138.50     140.48    
2024-03-06   150.67     122.25    
2024-03-20   156.14     143.43    
2024-04-03   159.13     167.81    
2024-04-18   169.38     158.72    
2024-05-02   176.38     162.00    
2024-05-16   176.73     186.61    
2024-05-30   179.63     170.71    
2024-06-14   189.03     172.76    
2024-06-28   181.67     154.48    
2024-07-15   159.25     156.93    
2024-07-30   166.67     150.48    
2024-08-13   157.36     167.76    
2024-08-27   159.32     176.61    
2024-09-10   166.99     164.87    
2024-09-25   165.46     170.84    
2024-10-09   169.68     173.95    
2024-10-23   181.62     174.93    
2024-11-06   169.12     177.14    
2024-12-17   N/A        176.62    

Company: ROP
Comparison of Actual vs Predicted Prices:
dates        actual     predicted 
2022-12-22   450.98     419.22    
2023-01-05   423.48     466.60    
2023-01-23   429.68     424.80    
2023-02-07   430.20     388.33    
2023-02-21   428.07     420.37    
2023-03-08   432.00     437.19    
2023-03-22   442.48     434.82    
2023-04-05   431.05     426.23    
2023-04-19   459.30     437.01    
2023-05-04   441.89     494.94    
2023-05-18   452.22     473.14    
2023-06-01   460.81     451.32    
2023-06-16   475.65     471.80    
2023-06-30   495.16     487.50    
2023-07-17   492.70     488.78    
2023-08-01   485.99     503.55    
2023-08-15   493.39     489.63    
2023-08-29   502.76     490.86    
2023-09-12   480.02     492.68    
2023-09-27   499.93     495.57    
2023-10-11   488.57     495.21    
2023-10-25   524.70     490.16    
2023-11-08   525.83     498.72    
2023-11-22   550.77     555.48    
2023-12-06   546.15     520.20    
2023-12-21   534.19     459.75    
2024-01-04   555.93     494.70    
2024-01-22   542.31     515.76    
2024-02-06   547.10     470.74    
2024-02-20   555.20     483.47    
2024-03-06   554.43     461.36    
2024-03-20   535.99     485.21    
2024-04-03   538.01     466.12    
2024-04-18   521.05     493.65    
2024-05-02   547.45     548.88    
2024-05-16   550.36     547.66    
2024-05-30   561.49     505.73    
2024-06-14   556.80     485.41    
2024-06-28   576.55     472.02    
2024-07-15   517.53     478.36    
2024-07-30   549.88     483.85    
2024-08-13   552.36     526.87    
2024-08-27   551.83     530.18    
2024-09-10   548.27     473.75    
2024-09-25   556.18     472.26    
2024-10-09   548.81     470.11    
2024-10-23   564.77     476.71    
2024-11-06   561.89     494.51    
2024-12-17   N/A        475.71    

Company: ORCL
Comparison of Actual vs Predicted Prices:
dates        actual     predicted 
2022-12-22   89.20      81.17     
2023-01-05   87.35      88.14     
2023-01-23   89.42      90.97     
2023-02-07   87.40      91.56     
2023-02-21   84.56      88.81     
2023-03-08   89.85      91.59     
2023-03-22   93.90      91.37     
2023-04-05   93.71      94.96     
2023-04-19   97.52      103.88    
2023-05-04   98.32      99.06     
2023-05-18   107.48     103.62    
2023-06-01   118.64     107.02    
2023-06-16   114.38     129.93    
2023-06-30   118.07     122.79    
2023-07-17   116.10     112.56    
2023-08-01   116.59     116.78    
2023-08-15   123.98     108.27    
2023-08-29   112.77     113.22    
2023-09-12   104.52     124.17    
2023-09-27   109.04     92.43     
2023-10-11   103.40     107.92    
2023-10-25   116.10     111.43    
2023-11-08   116.21     105.77    
2023-11-22   102.99     112.13    
2023-12-06   106.25     107.91    
